week,country,interest_USDT,interest_bitcoin,interest_crypto,demand_index_raw,demand_index
2025-12-28,Ghana,63.0,64.0,36.0,54.333333333333336,26.15
2025-12-28,Kenya,55.0,39.0,41.0,45.0,18.42
2025-12-28,Nigeria,68.0,61.0,57.0,62.0,13.16
2025-12-28,South Africa,67.0,47.0,61.0,58.333333333333336,20.19
2026-01-04,Ghana,58.0,51.0,30.0,46.333333333333336,7.69
2026-01-04,Kenya,45.0,37.0,41.0,41.0,10.53
2026-01-04,Nigeria,66.0,56.0,54.0,58.666666666666664,4.39
2026-01-04,South Africa,62.0,44.0,65.0,57.0,16.35
2026-01-11,Ghana,69.0,51.0,30.0,50.0,16.15
2026-01-11,Kenya,42.0,32.0,45.0,39.666666666666664,7.89
2026-01-11,Nigeria,67.0,55.0,57.0,59.666666666666664,7.02
2026-01-11,South Africa,66.0,42.0,66.0,58.0,19.23
2026-01-18,Ghana,50.0,59.0,33.0,47.333333333333336,10.0
2026-01-18,Kenya,47.0,40.0,50.0,45.666666666666664,19.74
2026-01-18,Nigeria,64.0,53.0,60.0,59.0,5.26
2026-01-18,South Africa,60.0,39.0,72.0,57.0,16.35
2026-01-25,Ghana,79.0,52.0,25.0,52.0,20.77
2026-01-25,Kenya,43.0,44.0,50.0,45.666666666666664,19.74
2026-01-25,Nigeria,67.0,60.0,62.0,63.0,15.79
2026-01-25,South Africa,70.0,46.0,73.0,63.0,33.65
2026-02-01,Ghana,55.0,100.0,39.0,64.66666666666667,50.0
2026-02-01,Kenya,59.0,100.0,53.0,70.66666666666667,69.08
2026-02-01,Nigeria,78.0,90.0,67.0,78.33333333333333,56.14
2026-02-01,South Africa,75.0,100.0,83.0,86.0,100.0
2026-02-08,Ghana,58.0,75.0,30.0,54.333333333333336,26.15
2026-02-08,Kenya,47.0,70.0,54.0,57.0,42.11
2026-02-08,Nigeria,72.0,67.0,56.0,65.0,21.05
2026-02-08,South Africa,71.0,72.0,73.0,72.0,59.62
2026-02-15,Ghana,70.0,73.0,29.0,57.333333333333336,33.08
2026-02-15,Kenya,50.0,49.0,46.0,48.333333333333336,25.0
2026-02-15,Nigeria,77.0,65.0,56.0,66.0,23.68
2026-02-15,South Africa,68.0,55.0,68.0,63.666666666666664,35.58
2026-02-22,Ghana,50.0,66.0,23.0,46.333333333333336,7.69
2026-02-22,Kenya,43.0,47.0,48.0,46.0,20.39
2026-02-22,Nigeria,73.0,60.0,62.0,65.0,21.05
2026-02-22,South Africa,59.0,66.0,69.0,64.66666666666667,38.46
2026-03-01,Ghana,70.0,66.0,34.0,56.666666666666664,31.54
2026-03-01,Kenya,44.0,46.0,40.0,43.333333333333336,15.13
2026-03-01,Nigeria,67.0,58.0,57.0,60.666666666666664,9.65
2026-03-01,South Africa,65.0,59.0,60.0,61.333333333333336,28.85
2026-03-08,Ghana,58.0,64.0,33.0,51.666666666666664,20.0
2026-03-08,Kenya,46.0,40.0,44.0,43.333333333333336,15.13
2026-03-08,Nigeria,73.0,62.0,54.0,63.0,15.79
2026-03-08,South Africa,73.0,50.0,56.0,59.666666666666664,24.04
2026-03-15,Ghana,47.0,58.0,29.0,44.666666666666664,3.85
2026-03-15,Kenya,41.0,39.0,46.0,42.0,12.5
2026-03-15,Nigeria,72.0,57.0,57.0,62.0,13.16
2026-03-15,South Africa,52.0,46.0,63.0,53.666666666666664,6.73
2026-03-22,Ghana,58.0,61.0,32.0,50.333333333333336,16.92
2026-03-22,Kenya,50.0,42.0,42.0,44.666666666666664,17.76
2026-03-22,Nigeria,79.0,69.0,58.0,68.66666666666667,30.7
2026-03-22,South Africa,80.0,46.0,62.0,62.666666666666664,32.69
2026-03-29,Ghana,62.0,71.0,30.0,54.333333333333336,26.15
2026-03-29,Kenya,48.0,38.0,53.0,46.333333333333336,21.05
2026-03-29,Nigeria,77.0,62.0,66.0,68.33333333333333,29.82
2026-03-29,South Africa,78.0,42.0,79.0,66.33333333333333,43.27
2026-04-05,Ghana,75.0,63.0,27.0,55.0,27.69
2026-04-05,Kenya,30.0,39.0,41.0,36.666666666666664,1.97
2026-04-05,Nigeria,64.0,61.0,54.0,59.666666666666664,7.02
2026-04-05,South Africa,74.0,45.0,75.0,64.66666666666667,38.46
2026-04-12,Ghana,58.0,66.0,26.0,50.0,16.15
2026-04-12,Kenya,45.0,37.0,38.0,40.0,8.55
2026-04-12,Nigeria,68.0,58.0,53.0,59.666666666666664,7.02
2026-04-12,South Africa,66.0,38.0,56.0,53.333333333333336,5.77
2026-04-19,Ghana,56.0,61.0,21.0,46.0,6.92
2026-04-19,Kenya,44.0,40.0,47.0,43.666666666666664,15.79
2026-04-19,Nigeria,61.0,58.0,52.0,57.0,0.0
2026-04-19,South Africa,62.0,39.0,57.0,52.666666666666664,3.85
2026-04-26,Ghana,53.0,58.0,30.0,47.0,9.23
2026-04-26,Kenya,45.0,37.0,39.0,40.333333333333336,9.21
2026-04-26,Nigeria,64.0,57.0,52.0,57.666666666666664,1.75
2026-04-26,South Africa,70.0,36.0,63.0,56.333333333333336,14.42
2026-05-03,Ghana,51.0,50.0,33.0,44.666666666666664,3.85
2026-05-03,Kenya,40.0,38.0,61.0,46.333333333333336,21.05
2026-05-03,Nigeria,69.0,58.0,50.0,59.0,5.26
2026-05-03,South Africa,69.0,37.0,71.0,59.0,22.12
2026-05-10,Ghana,61.0,44.0,24.0,43.0,0.0
2026-05-10,Kenya,40.0,27.0,45.0,37.333333333333336,3.29
2026-05-10,Nigeria,68.0,56.0,52.0,58.666666666666664,4.39
2026-05-10,South Africa,63.0,35.0,56.0,51.333333333333336,0.0
2026-05-17,Ghana,61.0,57.0,29.0,49.0,13.85
2026-05-17,Kenya,44.0,39.0,39.0,40.666666666666664,9.87
