date,bitcoin_price_usd,bitcoin_volume_usd,ethereum_price_usd,ethereum_volume_usd,tether_price_usd,tether_volume_usd,market_liquidity,liquidity_index,btc_return,eth_return,btc_signal,eth_signal,CMI,CMI_index,CMI_raw,btc_volatility,eth_volatility,liquidity_stress,btc_vol_norm,eth_vol_norm,liq_stress_norm,MSI,MSI_raw,MSI_index
2025-06-21,103290.105144757,30632751225.407444,2405.695434213183,20482816663.29469,1.000016779381578,27727183521.48383,78842751410.18596,1.0,0.0,0.0,0.0,0.0,0.2,34.43170796012039,0.2,,,0.9999990000010001,,,0.34753706890655534,,0.26913768624481627,33.623969592734866
2025-06-22,101532.5683847329,21644463198.719532,2270.581996055585,16155611764.84833,1.0001771868169653,40362095973.28882,78162170936.85669,0.9956652284326161,-0.017015538492878735,-0.05616398328568506,-0.008507769246439367,-0.02808199164284253,0.18547585245063064,30.723694024701604,0.18547585245063064,,,1.0043526348927252,0.14879804855832882,0.42697357735190705,0.3490501199289643,0.2923263286075929,0.26913768624481627,33.623969592734866
2025-06-23,100852.58264648831,51287142390.02526,2227.4287266371684,28181442532.315876,1.0001760035164122,37617312021.492065,117085896943.8332,1.2815376003481944,-0.006697217937676414,-0.019005378133615802,-0.007904252143518383,-0.02505645380643362,0.24398084777280388,45.66001556845022,0.24398084777280388,,,0.7803120403305057,0.10600731850041228,0.30712778906538457,0.27118763051631706,0.25411194094113415,0.26913768624481627,33.623969592734866
2025-06-24,105511.62437933135,50011797128.6837,2423.899644268608,25494295400.420887,1.0005680858193842,30627659753.04954,106133752282.15413,1.1165375435161107,0.04619655352975993,0.08820525446309513,0.007494599033068261,0.004345297681264755,0.22820093245654552,41.63140420289335,0.22820093245654552,,,0.8956251495366053,0.3455498559945191,0.6584715951194487,0.3112632505718864,0.31245475932915884,0.26913768624481627,33.623969592734866
2025-06-25,105976.06929808448,31704641076.941063,2446.539301545049,19669025068.963604,1.0004180868065167,33868815091.5619,85242481237.46657,0.9156661113044551,0.0044018364941798005,0.009340179297428142,0.014633724028754439,0.02618001854230249,0.1988814045636364,34.146130617144955,0.1988814045636364,,,1.0920999429316671,0.29933090297178266,0.5710022342118004,0.37954559266470106,0.349978219543849,0.26913768624481627,33.623969592734866
2025-06-26,107238.53045016268,30468274982.034847,2417.2267855277296,15513055665.262428,1.0004815192680219,47290560827.3395,93271891474.63678,1.0015971762337583,0.011912700295830136,-0.011981216078894796,0.020837030106589955,0.028521405893876157,0.2196785908575738,39.45565094068152,0.2196785908575738,,,0.9984043738580198,0.26975543442184613,0.515802312944009,0.3469828766566305,0.40025827866860064,0.26913768624481627,33.623969592734866
2025-06-27,106984.01253775663,24320699663.15122,2415.031864876594,16271811388.723804,1.000347010938295,33669740952.855576,74262252004.73059,0.8212239835879724,-0.0023733812029841372,-0.0009080325703308967,0.004647051862341933,-0.0011830231172658505,0.16592191196460535,25.73157427598151,0.16592191196460535,0.020190281369365615,0.04380738184545579,1.2176931047944386,0.24969446009343782,0.47098317695851616,0.4231939156614746,0.3799217839079887,0.26913768624481627,33.623969592734866
2025-06-28,107078.91560644074,25194306261.888832,2423.0302896731746,13100825617.816572,1.0003368979263507,23287527002.824574,61582658882.52998,0.7000971829617978,0.0008870771102422736,0.0033119334419171587,0.003475465401029424,-0.0031924384024361783,0.14046604258197015,19.23269245946415,0.14046604258197015,0.020154930476644847,0.04380819001921516,1.4283710832807102,0.24925727341385415,0.47099186581935854,0.49641239600615883,0.3749309434618331,0.3112594648544861,42.30565451564533
2025-06-29,107331.58548463577,8960877693.57604,2437.133001780241,5787313890.541637,1.0002750130398774,20696834496.64779,35445026080.765465,0.4329926850510783,0.002359660412734277,0.005820278915691368,0.00029111877333080444,0.0027413932624258766,0.08768902810006358,5.758724055913622,0.08768902810006358,0.017763199749835982,0.03563448775453101,2.3095025043657036,0.21967859139382295,0.3831145241942668,0.8026385336373366,0.4005508178811931,0.4832595758748875,77.75645502486086
2025-06-30,108396.61631317894,14881078675.366829,2502.6672721177083,10236257918.833096,1.000122333337896,19863440738.397785,44980777332.59771,0.6285757624356962,0.009922809056944537,0.026889903131916304,0.004389848859973696,0.01200737182984161,0.13189316461457196,17.044037265642643,0.13189316461457196,0.01652348054053125,0.03341463442161349,1.5908955910572664,0.20434690715565848,0.35924837353482275,0.5528957435475949,0.3963011799357319,0.3381543641963112,47.848939956719164
2025-07-01,107132.79910701896,22489515582.41552,2488.190781689803,16306915984.938057,1.000208290221961,20353383599.230373,59149815166.583954,0.9121323435987574,-0.011659194254814764,-0.005784424717256043,0.00020775840495468323,0.008975252443450543,0.18566129835718878,30.771038352721312,0.18566129835718878,0.007890589022022809,0.012458125701450697,1.096330933429723,0.09758340310514942,0.13394015744920498,0.3810160201713929,0.3308331888074127,0.22740567257533403,25.022618799018282
2025-07-02,105613.39974163055,25033160828.30909,2405.1045592800183,12933967031.524443,1.0000827770589626,22462425575.86348,60429553435.697014,0.985749738552698,-0.014182392115701381,-0.033392223386246256,-0.005306259104523869,-0.004095581657195331,0.1933286775334855,32.728519763400215,0.1933286775334855,0.009899810392376562,0.018366699071830764,1.0144552379115872,0.12243156822482357,0.1974645805040094,0.35256115248149517,0.2542941865669362,0.2141976513680004,22.300324480922555
2025-07-03,108824.44423167943,36395184773.06136,2574.067718495133,21862573614.17975,1.0003296838512101,32822093682.630093,91079852069.8712,1.493357369119019,0.03040376029844971,0.0702518975997013,0.001520724642644522,0.010358416498733,0.3029812456875504,60.7228133622273,0.3029812456875504,0.014934405116891345,0.03221465538141959,0.6696316307450922,0.18469471297893197,0.3463471245483399,0.23272204691808032,0.21836639944843958,0.15278595034834283,9.642809617334846
2025-07-04,109602.20483914016,29892049537.628605,2590.132231590221,19823369642.62606,1.0002529231468722,55037293095.63335,104752712275.88802,1.6030526700502243,0.007146929285528403,0.00624090538864297,0.007789432489425578,0.014366859867366003,0.32914417958386455,67.40220870362106,0.32914417958386455,0.014882541825602131,0.03194352358496403,0.6238094323870452,0.1840533164436277,0.3434321246216242,0.2167971184849574,0.23442302777550172,0.1434923126416355,7.727305642419821
2025-07-05,108040.8919400104,24248906784.57383,2509.236345783362,16377116416.187033,1.0002100728429393,45905467447.91458,86531490648.67545,1.255719479236332,-0.014245269074844358,-0.031232338187302755,0.007768473503044586,0.01508682160034717,0.259920096483758,49.72930473942743,0.259920096483758,0.01636017553465367,0.035684224619268866,0.796355571590384,0.20232730403437524,0.38364925659733146,0.27676335792100765,0.2561144807033921,0.18008887437964582,15.270192689414271
